Discovered 3965 test files (~42342 tests) under ['tests']; running with -j 8
[  3.2% |  1352/~42342 | ✓1467 | ✗   0] ✓ tests/agent/test_compress_focus.py (2✓, 2.1s)
[  3.2% |  1353/~42342 | ✓1468 | ✗   0] ✓ tests/agent/test_compress_signal_leak.py (1✓, 2.0s)
[  3.2% |  1362/~42342 | ✓1477 | ✗   0] ✓ tests/agent/test_compressed_summary_metadata.py (9✓, 2.5s)
[  3.2% |  1369/~42342 | ✓1502 | ✗   0] ✓ tests/agent/test_codex_usage_attribution.py (25✓, 6.7s)
[  3.3% |  1379/~42342 | ✓1512 | ✗   0] ✓ tests/agent/test_compression_attempt_ownership.py (10✓, 2.0s)
[  3.3% |  1399/~42342 | ✓1532 | ✗   0] ✓ tests/agent/test_compress_context_progress_timeout.py (20✓, 7.0s)
[  3.3% |  1407/~42342 | ✓1540 | ✗   0] ✓ tests/agent/test_compression_anti_thrash_persistence.py (8✓, 5.0s)
[  3.3% |  1416/~42342 | ✓1549 | ✗   0] ✓ tests/agent/test_compression_anti_thrash_recovery.py (9✓, 4.5s)
[  3.4% |  1419/~42342 | ✓1552 | ✗   0] ✓ tests/agent/test_compression_attempt_telemetry.py (3✓, 3.9s)
[  3.4% |  1424/~42342 | ✓1558 | ✗   0] ✓ tests/agent/test_compression_busy_steer_anchor.py (6✓, 2.2s)
[  3.4% |  1426/~42342 | ✓1562 | ✗   0] ✓ tests/agent/test_compression_adoption_preserves_live_tail.py (4✓, 8.8s)
[  3.4% |  1429/~42342 | ✓1565 | ✗   0] ✓ tests/agent/test_compression_fallback_budget.py (3✓, 3.3s)
[  3.4% |  1436/~42342 | ✓1572 | ✗   0] ✓ tests/agent/test_compression_interrupt_protection.py (7✓, 3.2s)
[  3.4% |  1441/~42342 | ✓1577 | ✗   0] ✓ tests/agent/test_compression_progress.py (5✓, 1.9s)
[  3.4% |  1449/~42342 | ✓1587 | ✗   0] ✓ tests/agent/test_codex_ttfb_watchdog.py (10✓, 15.9s)
[  3.4% |  1451/~42342 | ✓1589 | ✗   0] ✓ tests/agent/test_compression_orphan_recovery.py (2✓, 2.9s)
[  3.4% |  1453/~42342 | ✓1591 | ✗   0] ✓ tests/agent/test_compression_count_warning_36908.py (2✓, 6.9s)
[  3.5% |  1465/~42342 | ✓1603 | ✗   0] ✓ tests/agent/test_compression_attempt_lifecycle.py (12✓, 11.2s)
[  3.5% |  1466/~42342 | ✓1604 | ✗   0] ✓ tests/agent/test_compression_logging_session_context.py (1✓, 6.4s)
[  3.5% |  1467/~42342 | ✓1605 | ✗   0] ✓ tests/agent/test_compression_split_failure_cooldown.py (1✓, 2.0s)
[  3.5% |  1475/~42342 | ✓1613 | ✗   0] ✓ tests/agent/test_compression_small_ctx_threshold_floor.py (8✓, 2.3s)
[  3.5% |  1478/~42342 | ✓1616 | ✗   0] ✓ tests/agent/test_compression_max_attempts_config.py (3✓, 6.1s)
[  3.5% |  1489/~42342 | ✓1627 | ✗   0] ✓ tests/agent/test_compression_stall_fallback_78981.py (11✓, 3.6s)
[  3.5% |  1492/~42342 | ✓1630 | ✗   0] ✓ tests/agent/test_compressor_actionable_tail_anchor.py (3✓, 2.3s)
[  3.6% |  1509/~42342 | ✓1647 | ✗   0] ✓ tests/agent/test_compressor_assistant_tail_anchor.py (17✓, 2.6s)
[  3.6% |  1513/~42342 | ✓1651 | ✗   0] ✓ tests/agent/test_compressor_image_tokens.py (4✓, 2.1s)
[  3.6% |  1536/~42342 | ✓1674 | ✗   0] ✓ tests/agent/test_compressor_historical_media.py (23✓, 2.7s)
[  3.6% |  1539/~42342 | ✓1677 | ✗   0] ✓ tests/agent/test_compressor_media_stripping.py (3✓, 1.9s)
[  3.7% |  1548/~42342 | ✓1687 | ✗   0] ✓ tests/agent/test_compression_review_76354.py (10✓, 8.1s)
[  3.7% |  1554/~42342 | ✓1693 | ✗   0] ✓ tests/agent/test_compressor_stale_tool_images.py (6✓, 1.9s)
[  3.7% |  1562/~42342 | ✓1701 | ✗   0] ✓ tests/agent/test_compressor_tail_cut_oob_fix.py (8✓, 2.2s)
[  3.7% |  1573/~42342 | ✓1712 | ✗   0] ✓ tests/agent/test_compression_stall_interrupt_96775.py (11✓, 8.5s)
[  3.7% |  1576/~42342 | ✓1715 | ✗   0] ✓ tests/agent/test_compressor_tool_call_budget.py (3✓, 1.9s)
[  3.7% |  1579/~42342 | ✓1718 | ✗   0] ✓ tests/agent/test_compressor_tail_cut_tool_pair_floor.py (3✓, 2.7s)
[  3.7% |  1583/~42342 | ✓1722 | ✗   0] ✓ tests/agent/test_context_breakdown.py (4✓, 1.9s)
[  3.8% |  1589/~42342 | ✓1728 | ✗   0] ✓ tests/agent/test_compressor_zero_user_guard.py (6✓, 2.4s)
[  3.8% |  1599/~42342 | ✓1738 | ✗   0] ✓ tests/agent/test_compressor_truncated_summary_guard.py (10✓, 3.3s)
[  3.8% |  1602/~42342 | ✓1741 | ✗   0] ✓ tests/agent/test_context_compressor_cross_session_guard.py (3✓, 2.1s)
[  3.8% |  1606/~42342 | ✓1745 | ✗   0] ✓ tests/agent/test_context_compressor_session_end_clears_state.py (4✓, 1.9s)
[  3.8% |  1610/~42342 | ✓1749 | ✗   0] ✓ tests/agent/test_context_compressor_reasoning_fallback.py (4✓, 3.1s)
[  3.8% |  1615/~42342 | ✓1754 | ✗   0] ✓ tests/agent/test_context_compressor_structural_backoff.py (5✓, 2.4s)
[  3.8% |  1624/~42342 | ✓1763 | ✗   0] ✓ tests/agent/test_context_compressor_summary_continuity.py (9✓, 2.5s)
[  3.8% |  1626/~42342 | ✓1765 | ✗   0] ✓ tests/agent/test_context_compressor_temporal_anchoring.py (2✓, 2.2s)
[  3.8% |  1630/~42342 | ✓1769 | ✗   0] ✓ tests/agent/test_compression_worker_isolation_76354.py (4✓, 14.3s)
[  3.9% |  1644/~42342 | ✓1783 | ✗   0] ✓ tests/agent/test_context_engine.py (14✓, 2.8s)
[  3.9% |  1648/~42342 | ✓1787 | ✗   0] ✓ tests/agent/test_context_engine_host_contract.py (4✓, 3.9s)
[  3.9% |  1651/~42342 | ✓1790 | ✗   0] ✓ tests/agent/test_context_engine_on_turn_complete_usage.py (3✓, 2.8s)
[  3.9% |  1657/~42342 | ✓1796 | ✗   0] ✓ tests/agent/test_context_engine_select_context.py (6✓, 2.1s)
[  3.9% |  1665/~42342 | ✓1809 | ✗   0] ✓ tests/agent/test_context_references.py (13✓, 2.3s)
[  4.3% |  1807/~42342 | ✓1961 | ✗   0] ✓ tests/agent/test_context_compressor.py (152✓, 11.1s)
[  4.3% |  1809/~42342 | ✓1963 | ✗   0] ✓ tests/agent/test_context_refs_concurrent.py (2✓, 2.1s)
[  4.3% |  1813/~42342 | ✓1967 | ✗   0] ✓ tests/agent/test_context_route_mismatch.py (4✓, 2.3s)
[  4.3% |  1820/~42342 | ✓1974 | ✗   0] ✓ tests/agent/test_conversation_loop_interpreter_shutdown.py (7✓, 2.2s)
[  4.3% |  1828/~42342 | ✓1989 | ✗   0] ✓ tests/agent/test_context_compressor_zero_user_provenance.py (15✓, 6.9s)
[  4.4% |  1846/~42342 | ✓2007 | ✗   0] ✓ tests/agent/test_copilot_acp_client.py (18✓, 2.8s)
[  4.4% |  1849/~42342 | ✓2010 | ✗   0] ✓ tests/agent/test_credential_pool_anthropic_refresh_race.py (3✓, 2.0s)
[  4.4% |  1851/~42342 | ✓2012 | ✗   0] ✓ tests/agent/test_credential_pool_key_rotation.py (2✓, 1.8s)
[  4.4% |  1853/~42342 | ✓2014 | ✗   0] ✓ tests/agent/test_credential_pool_deferred_refresh.py (2✓, 2.2s)
[  4.4% |  1859/~42342 | ✓2028 | ✗   0] ✓ tests/agent/test_copilot_acp_deprecation.py (14✓, 2.7s)
[  4.4% |  1862/~42342 | ✓2031 | ✗   0] ✓ tests/agent/test_credential_pool_lease_refresh_reselect.py (3✓, 1.8s)
[  4.4% |  1865/~42342 | ✓2034 | ✗   0] ✓ tests/agent/test_credential_pool_no_entries_log_throttle.py (3✓, 1.8s)
[  4.4% |  1867/~42342 | ✓2036 | ✗   0] ✓ tests/agent/test_credential_pool_oat_authtype.py (2✓, 1.8s)
[  4.4% |  1872/~42342 | ✓2041 | ✗   0] ✓ tests/agent/test_credential_pool_oauth_writethrough.py (5✓, 2.1s)
[  4.4% |  1875/~42342 | ✓2044 | ✗   0] ✓ tests/agent/test_credential_pool_nous_refresh_stampede.py (3✓, 3.6s)
[  4.5% |  1894/~42342 | ✓2063 | ✗   0] ✓ tests/agent/test_credential_pool_profile_oauth_fork.py (19✓, 2.9s)
[  4.5% |  1897/~42342 | ✓2066 | ✗   0] ✓ tests/agent/test_credential_pool_quarantine_locking.py (3✓, 2.1s)
[  4.5% |  1906/~42342 | ✓2075 | ✗   0] ✓ tests/agent/test_credential_pool_provider_boundary.py (9✓, 2.8s)
[  4.5% |  1908/~42342 | ✓2077 | ✗   0] ✓ tests/agent/test_credential_pool_unmatched_rotation_bound.py (2✓, 1.9s)
[  4.5% |  1919/~42342 | ✓2088 | ✗   0] ✓ tests/agent/test_credential_pool_sole_cooldown.py (11✓, 2.2s)
[  4.5% |  1924/~42342 | ✓2093 | ✗   0] ✓ tests/agent/test_credits_cold_start.py (5✓, 1.9s)
[  4.7% |  1972/~42342 | ✓2160 | ✗   0] ✓ tests/agent/test_credential_pool.py (67✓, 8.8s)
[  4.7% |  1974/~42342 | ✓2162 | ✗   0] ✓ tests/agent/test_credits_fixture_snapshot.py (2✓, 2.1s)
[  4.7% |  1991/~42342 | ✓2179 | ✗   0] ✓ tests/agent/test_credential_pool_routing.py (17✓, 4.5s)
[  4.7% |  1994/~42342 | ✓2182 | ✗   0] ✓ tests/agent/test_credits_view.py (3✓, 2.3s)
[  4.8% |  2028/~42342 | ✓2216 | ✗   0] ✓ tests/agent/test_credits_policy.py (34✓, 2.7s)
[  4.9% |  2079/~42342 | ✓2267 | ✗   0] ✓ tests/agent/test_credits_tracker.py (51✓, 3.0s)
[  4.9% |  2081/~42342 | ✓2269 | ✗   0] ✓ tests/agent/test_crossloop_client_cache.py (2✓, 2.0s)
[  4.9% |  2090/~42342 | ✓2278 | ✗   0] ✓ tests/agent/test_cron_inflight_prompt_reappend_100818.py (9✓, 2.6s)
[  5.0% |  2135/~42342 | ✓2328 | ✗   0] ✓ tests/agent/test_compression_concurrent_fork.py (50✓, 39.8s)
[  5.0% |  2137/~42342 | ✓2330 | ✗   0] ✓ tests/agent/test_cron_inline_api_call_62151.py (2✓, 3.5s)
[  5.0% |  2138/~42342 | ✓2331 | ✗   0] ✓ tests/agent/test_curator_activity.py (1✓, 1.9s)
[  5.1% |  2151/~42342 | ✓2344 | ✗   0] ✓ tests/agent/test_curator_classification.py (13✓, 2.4s)
